"nameWithOwner","stars__totalCount","createdAt","contributors","metrics__metric","metrics__value","metrics__bestValue"
"googlesamples/android-architecture","34116","2016-02-05T13:42:07Z","50","sqale_rating","1.0","True"
"","","","","violations","80","False"
"","","","","ncloc_language_distribution","kotlin=3792;xml=788",""
"","","","","comment_lines","2082",""
"","","","","complexity","393",""
"","","","","lines","7472",""
"","","","","files","92",""
"","","","","functions","316",""
"","","","","statements","1331",""
"","","","","code_smells","80","False"
"","","","","ncloc","4580",""
"","","","","comment_lines_density","31.3","False"
"JetBrains/kotlin","29064","2012-02-13T17:29:58Z","336","statements","174423",""
"","","","","lines","626915",""
"","","","","files","3709",""
"","","","","functions","47977",""
"","","","","comment_lines","52800",""
"","","","","comment_lines_density","10.2","False"
"","","","","code_smells","11114","False"
"","","","","ncloc_language_distribution","css=157;java=235513;js=63;kotlin=220015;xml=8758",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","464506",""
"","","","","violations","11640","False"
"","","","","complexity","91102",""
"shadowsocks/shadowsocks-android","26149","2012-12-16T13:40:29Z","38","sqale_rating","1.0","True"
"","","","","complexity","1407",""
"","","","","violations","59","False"
"","","","","comment_lines","2956",""
"","","","","statements","3318",""
"","","","","comment_lines_density","18.0","False"
"","","","","ncloc","13450",""
"","","","","ncloc_language_distribution","java=15;kotlin=9646;py=187;web=33;xml=3569",""
"","","","","files","228",""
"","","","","functions","608",""
"","","","","lines","15609",""
"","","","","code_smells","54","False"
"square/leakcanary","23606","2015-04-29T23:54:16Z","73","files","203",""
"","","","","statements","5722",""
"","","","","ncloc_language_distribution","kotlin=18018;web=28;xml=702",""
"","","","","ncloc","18748",""
"","","","","complexity","2039",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","15.6","False"
"","","","","lines","22580",""
"","","","","functions","777",""
"","","","","violations","72","False"
"","","","","code_smells","72","False"
"","","","","comment_lines","3457",""
"google/iosched","19095","2014-04-01T22:40:40Z","53","violations","276","False"
"","","","","lines","68667",""
"","","","","functions","1545",""
"","","","","ncloc_language_distribution","java=10;kotlin=25819;web=648;xml=21629",""
"","","","","comment_lines_density","23.7","False"
"","","","","complexity","2514",""
"","","","","code_smells","275","False"
"","","","","ncloc","48106",""
"","","","","sqale_rating","1.0","True"
"","","","","statements","6285",""
"","","","","comment_lines","14966",""
"","","","","files","826",""
"afollestad/material-dialogs","16490","2014-11-03T03:21:42Z","86","ncloc","10762",""
"","","","","comment_lines_density","13.9","False"
"","","","","ncloc_language_distribution","kotlin=8537;xml=2225",""
"","","","","functions","271",""
"","","","","lines","12336",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","8","False"
"","","","","statements","2550",""
"","","","","comment_lines","1736",""
"","","","","files","196",""
"","","","","complexity","777",""
"","","","","violations","10","False"
"Kotlin/anko","15038","2014-09-18T12:12:23Z","70","sqale_rating","1.0","True"
"","","","","comment_lines_density","6.1","False"
"","","","","files","295",""
"","","","","comment_lines","2904",""
"","","","","ncloc","44470",""
"","","","","complexity","2055",""
"","","","","functions","1168",""
"","","","","lines","63457",""
"","","","","ncloc_language_distribution","java=178;kotlin=43058;web=15;xml=1219",""
"","","","","statements","17042",""
"","","","","violations","333","False"
"","","","","code_smells","327","False"
